ID; Large B/P ; Large ROE ; Large S/P ; Large Return Rate in the last quarter ; Large Market Value ; Small systematic Risk;Annual Return;Excess Return
1;1,000;0,000;0,000;0,000;0,000;0,000;13,90%;1,00%
2;0,000;1,000;0,000;0,000;0,000;0,000;14,30%;1,00%
3;0,000;0,000;1,000;0,000;0,000;0,000;17,30%;1,80%
4;0,000;0,000;0,000;1,000;0,000;0,000;9,60%;-0,20%
5;0,000;0,000;0,000;0,000;1,000;0,000;9,60%;0,10%
6;0,000;0,000;0,000;0,000;0,000;1,000;7,00%;-0,50%
7;0,500;0,500;0,000;0,000;0,000;0,000;19,50%;2,60%
8;0,500;0,000;0,500;0,000;0,000;0,000;16,40%;1,60%
9;0,000;0,500;0,500;0,000;0,000;0,000;18,50%;2,20%
10;0,500;0,000;0,000;0,500;0,000;0,000;15,00%;1,50%
11;0,000;0,500;0,000;0,500;0,000;0,000;15,90%;1,50%
12;0,000;0,000;0,500;0,500;0,000;0,000;17,00%;1,80%
13;0,500;0,000;0,000;0,000;0,500;0,000;14,00%;1,10%
14;0,000;0,500;0,000;0,000;0,500;0,000;12,30%;0,80%
15;0,000;0,000;0,500;0,000;0,500;0,000;14,50%;1,30%
16;0,000;0,000;0,000;0,500;0,500;0,000;9,00%;-0,10%
17;0,500;0,000;0,000;0,000;0,000;0,500;11,80%;0,90%
18;0,000;0,500;0,000;0,000;0,000;0,500;15,40%;1,70%
19;0,000;0,000;0,500;0,000;0,000;0,500;13,80%;1,30%
20;0,000;0,000;0,000;0,500;0,000;0,500;10,10%;0,30%
21;0,000;0,000;0,000;0,000;0,500;0,500;9,30%;0,10%
22;0,333;0,333;0,333;0,000;0,000;0,000;19,20%;2,40%
23;0,333;0,333;0,000;0,333;0,000;0,000;18,30%;2,30%
24;0,333;0,000;0,333;0,333;0,000;0,000;16,40%;1,70%
25;0,000;0,333;0,333;0,333;0,000;0,000;18,40%;2,20%
26;0,333;0,333;0,000;0,000;0,333;0,000;14,70%;1,50%
27;0,333;0,000;0,333;0,000;0,333;0,000;16,80%;1,70%
28;0,000;0,333;0,333;0,000;0,333;0,000;14,60%;1,40%
29;0,333;0,000;0,000;0,333;0,333;0,000;12,70%;1,00%
30;0,000;0,333;0,000;0,333;0,333;0,000;12,40%;0,70%
31;0,000;0,000;0,333;0,333;0,333;0,000;13,80%;1,20%
32;0,333;0,333;0,000;0,000;0,000;0,333;17,00%;2,40%
33;0,333;0,000;0,333;0,000;0,000;0,333;13,50%;1,20%
34;0,000;0,333;0,333;0,000;0,000;0,333;18,50%;2,40%
35;0,333;0,000;0,000;0,333;0,000;0,333;12,70%;1,10%
36;0,000;0,333;0,000;0,333;0,000;0,333;15,60%;1,70%
37;0,000;0,000;0,333;0,333;0,000;0,333;15,70%;1,60%
38;0,333;0,000;0,000;0,000;0,333;0,333;13,80%;1,40%
39;0,000;0,333;0,000;0,000;0,333;0,333;13,80%;1,20%
40;0,000;0,000;0,333;0,000;0,333;0,333;14,10%;1,40%
41;0,000;0,000;0,000;0,333;0,333;0,333;9,00%;0,00%
42;0,250;0,250;0,250;0,250;0,000;0,000;19,10%;2,40%
43;0,250;0,250;0,250;0,000;0,250;0,000;17,00%;1,90%
44;0,250;0,250;0,000;0,250;0,250;0,000;15,00%;1,50%
45;0,250;0,000;0,250;0,250;0,250;0,000;15,30%;1,50%
46;0,000;0,250;0,250;0,250;0,250;0,000;15,20%;1,40%
47;0,250;0,250;0,250;0,000;0,000;0,250;17,70%;2,30%
48;0,250;0,250;0,000;0,250;0,000;0,250;17,00%;2,30%
49;0,250;0,000;0,250;0,250;0,000;0,250;15,40%;1,70%
50;0,000;0,250;0,250;0,250;0,000;0,250;17,90%;2,20%
51;0,250;0,250;0,000;0,000;0,250;0,250;16,30%;2,10%
52;0,250;0,000;0,250;0,000;0,250;0,250;15,30%;1,60%
53;0,000;0,250;0,250;0,000;0,250;0,250;16,40%;1,90%
54;0,250;0,000;0,000;0,250;0,250;0,250;12,90%;1,20%
55;0,000;0,250;0,000;0,250;0,250;0,250;14,00%;1,20%
56;0,000;0,000;0,250;0,250;0,250;0,250;13,80%;1,30%
57;0,200;0,200;0,200;0,200;0,200;0,000;17,20%;2,00%
58;0,200;0,200;0,200;0,200;0,000;0,200;18,10%;2,30%
59;0,200;0,200;0,200;0,000;0,200;0,200;17,10%;2,20%
60;0,200;0,200;0,000;0,200;0,200;0,200;15,30%;1,80%
61;0,200;0,000;0,200;0,200;0,200;0,200;15,60%;1,80%
62;0,000;0,200;0,200;0,200;0,200;0,200;16,10%;1,80%
63;0,167;0,167;0,167;0,167;0,167;0,167;17,30%;2,20%